ID	Database
22422618	Pubmed
23389849	Pubmed
10816326	Pubmed
27317874	Pubmed
19179305	Pubmed
18767962	Pubmed
12434152	Pubmed
10911365	Pubmed
24479521	Pubmed
15703179	Pubmed
21931630	Pubmed
22189423	Pubmed
22189971	Pubmed
7891679	Pubmed
21913213	Pubmed
26060017	Pubmed
26404249	Pubmed
26967290	Pubmed
10215629	Pubmed
18438928	Pubmed
23403054	Pubmed
15030764	Pubmed
17142326	Pubmed
9182762	Pubmed
12000792	Pubmed
10572046	Pubmed
9794229	Pubmed
19020999	Pubmed
15107406	Pubmed
27272193	Pubmed
25592647	Pubmed
16000302	Pubmed
24924170	Pubmed
11230154	Pubmed
11857736	Pubmed
18625716	Pubmed
16115867	Pubmed
12434156	Pubmed
11545733	Pubmed
9207800	Pubmed
24850862	Pubmed
9182764	Pubmed
20877012	Pubmed
21173110	Pubmed
14765127	Pubmed
16099986	Pubmed
19389811	Pubmed
12231506	Pubmed
19801668	Pubmed
15537544	Pubmed
22544321	Pubmed
22065775	Pubmed
19585539	Pubmed
11106645	Pubmed
20686481	Pubmed
12391164	Pubmed
18477452	Pubmed
18223689	Pubmed
25865393	Pubmed
16751105	Pubmed
17215250	Pubmed
12529404	Pubmed
27797343	Pubmed
19144722	Pubmed
16025100	Pubmed
17442891	Pubmed
16407259	Pubmed
17171635	Pubmed
17496919	Pubmed
17496923	Pubmed
22177953	Pubmed
15520807	Pubmed
21388974	Pubmed
21372320	Pubmed
19091303	Pubmed
24937142	Pubmed
17496910	Pubmed
21167873	Pubmed
22569528	Pubmed
22535895	Pubmed
20674547	Pubmed
12068308	Pubmed
19350569	Pubmed
16446142	Pubmed
22150309	Pubmed
22201794	Pubmed
21091910	Pubmed
26165925	Pubmed
23442798	Pubmed
15156186	Pubmed
12732176	Pubmed
11257229	Pubmed
16446143	Pubmed
16024660	Pubmed
19235904	Pubmed
21906677	Pubmed
23045283	Pubmed
23613270	Pubmed
12217689	Pubmed
24449215	Pubmed
9566865	Pubmed
25123279	Pubmed
16446141	Pubmed
15213471	Pubmed
23148227	Pubmed
18296446	Pubmed
17028573	Pubmed
9819428	Pubmed
8649374	Pubmed
18094723	Pubmed
9315665	Pubmed
9694793	Pubmed
10879540	Pubmed
12530964	Pubmed
8001118	Pubmed
9244301	Pubmed
7566092	Pubmed
9620803	Pubmed
8687460	Pubmed
16530044	Pubmed
17114293	Pubmed
17003037	Pubmed
14980219	Pubmed
11226752	Pubmed
18237417	Pubmed
20418862	Pubmed
20972443	Pubmed
18374649	Pubmed
16284625	Pubmed
19567869	Pubmed
15574878	Pubmed
18628966	Pubmed
14567914	Pubmed
15652348	Pubmed
9590294	Pubmed
9462510	Pubmed
15546612	Pubmed
11044625	Pubmed
15107403	Pubmed
11585921	Pubmed
15965470	Pubmed
12391150	Pubmed
12354787	Pubmed
19726682	Pubmed
16256737	Pubmed
11740940	Pubmed
10882063	Pubmed
10206645	Pubmed
18043734	Pubmed
10964718	Pubmed
15824097	Pubmed
18077452	Pubmed
11461910	Pubmed
12050117	Pubmed
19524514	Pubmed
11006133	Pubmed
10713164	Pubmed
8313469	Pubmed
19762341	Pubmed
28348038	Pubmed
20395968	Pubmed
23719536	Pubmed
21801010	Pubmed
21502959	Pubmed
25260729	Pubmed
12923053	Pubmed
26542806	Pubmed
26778333	Pubmed
12738770	Pubmed
16901655	Pubmed
16728642	Pubmed
18541707	Pubmed
