Gene stable ID	Gene name
ENSECAG00000027697	
ENSECAG00000027676	
ENSECAG00000027683	
ENSECAG00000027699	
ENSECAG00000027682	
ENSECAG00000027684	MT-ND1
ENSECAG00000027688	
ENSECAG00000027686	
ENSECAG00000027667	
ENSECAG00000027681	MT-ND2
ENSECAG00000027666	
ENSECAG00000027670	
ENSECAG00000027680	
ENSECAG00000027690	
ENSECAG00000027668	
ENSECAG00000027689	MT-CO1
ENSECAG00000027701	
ENSECAG00000027696	
ENSECAG00000027692	MT-CO2
ENSECAG00000027693	
ENSECAG00000027679	MT-ATP8
ENSECAG00000027671	MT-ATP6
ENSECAG00000027672	MT-CO3
ENSECAG00000027687	
ENSECAG00000027695	MT-ND3
ENSECAG00000027685	
ENSECAG00000027691	MT-ND4L
ENSECAG00000027675	MT-ND4
ENSECAG00000027700	
ENSECAG00000027673	
ENSECAG00000027678	
ENSECAG00000027694	MT-ND5
ENSECAG00000027677	MT-ND6
ENSECAG00000027702	
ENSECAG00000027669	MT-CYB
ENSECAG00000027674	
ENSECAG00000027698	
ENSECAG00000035627	
ENSECAG00000037719	
ENSECAG00000040809	
ENSECAG00000041261	
ENSECAG00000033865	
ENSECAG00000020259	SMAD3
ENSECAG00000043173	
ENSECAG00000038359	
ENSECAG00000034397	
ENSECAG00000037536	
ENSECAG00000037021	
ENSECAG00000013731	STC1
ENSECAG00000043484	
ENSECAG00000019116	FSHB
ENSECAG00000022107	SLC16A4
ENSECAG00000029824	
ENSECAG00000012421	SYCE1
ENSECAG00000012714	OR2L5MP
ENSECAG00000027258	U6
ENSECAG00000041147	
ENSECAG00000030740	
ENSECAG00000031033	
ENSECAG00000040295	
ENSECAG00000021195	GSPT1
ENSECAG00000042840	
ENSECAG00000043695	
ENSECAG00000033483	
ENSECAG00000033911	
ENSECAG00000034246	
ENSECAG00000033379	
ENSECAG00000030042	
ENSECAG00000019214	ARL14EP
ENSECAG00000020592	JUP
ENSECAG00000022261	FABP6
ENSECAG00000042469	
ENSECAG00000001454	RNASE10
ENSECAG00000028311	
ENSECAG00000001538	RNASE9
ENSECAG00000023612	PRDM11
ENSECAG00000034716	
ENSECAG00000011061	ZNF789
ENSECAG00000022493	KCNG4
ENSECAG00000023660	RBM15
ENSECAG00000026867	DYNC2I1
ENSECAG00000025036	RSL1D1
ENSECAG00000028461	
ENSECAG00000023546	ETV6
ENSECAG00000004160	SH2D4B
ENSECAG00000026984	GPSM3
ENSECAG00000019603	PLAAT5
ENSECAG00000043407	
ENSECAG00000008023	B3GAT1
ENSECAG00000041466	
ENSECAG00000039662	
ENSECAG00000013706	SMAD6
ENSECAG00000019460	MPPED2
ENSECAG00000035696	
ENSECAG00000023889	SYT13
ENSECAG00000039299	
ENSECAG00000042321	
ENSECAG00000036033	
ENSECAG00000001686	RNASE11
ENSECAG00000032931	
ENSECAG00000014577	ADAM28
ENSECAG00000023905	CYP2J2
ENSECAG00000006769	TTC1
ENSECAG00000035464	
ENSECAG00000043295	
ENSECAG00000000270	CAGE1
ENSECAG00000018916	FILIP1
ENSECAG00000004502	WFDC1
ENSECAG00000001701	RNASE12
ENSECAG00000036157	
ENSECAG00000027987	
ENSECAG00000043623	
ENSECAG00000032214	
ENSECAG00000028676	
ENSECAG00000001736	OR6S1
ENSECAG00000029031	
ENSECAG00000036244	
ENSECAG00000022365	
ENSECAG00000034819	
ENSECAG00000031871	
ENSECAG00000011549	ZNF394
ENSECAG00000041345	
ENSECAG00000023943	KCNC4
ENSECAG00000003869	ZC3H7A
ENSECAG00000039252	
ENSECAG00000043746	
ENSECAG00000041032	
ENSECAG00000024880	BCL2L14
ENSECAG00000011653	ADRA1B
ENSECAG00000040989	
ENSECAG00000030860	
ENSECAG00000038592	
ENSECAG00000035207	
ENSECAG00000010380	HAP1
ENSECAG00000039769	
ENSECAG00000038881	
ENSECAG00000042753	
ENSECAG00000037918	
ENSECAG00000032447	
ENSECAG00000034558	
ENSECAG00000007789	PKIG
ENSECAG00000027992	eca-mir-8977
ENSECAG00000007939	VIPR2
ENSECAG00000029585	
ENSECAG00000037306	
ENSECAG00000027355	eca-mir-493a
ENSECAG00000005163	SLC38A6
ENSECAG00000034260	
ENSECAG00000028995	
ENSECAG00000004075	
ENSECAG00000019637	LGALS12
ENSECAG00000043758	
ENSECAG00000032600	
ENSECAG00000011727	RNASE4
ENSECAG00000032316	
ENSECAG00000007856	TSPAN14
ENSECAG00000038743	
ENSECAG00000014254	LCTL
ENSECAG00000029158	
ENSECAG00000037891	eca-mir-9073
ENSECAG00000036275	OR1B4P
ENSECAG00000024106	CHST1
ENSECAG00000038548	
ENSECAG00000034592	
ENSECAG00000009007	RIOK1
ENSECAG00000019922	ADAMDEC1
ENSECAG00000012353	ZKSCAN5
ENSECAG00000042335	
ENSECAG00000040997	
ENSECAG00000041818	
ENSECAG00000040340	
ENSECAG00000013641	HOOK1
ENSECAG00000004824	UQCRFS1
ENSECAG00000037121	
ENSECAG00000011733	RNASE6
ENSECAG00000041751	
ENSECAG00000017803	
ENSECAG00000038694	
ENSECAG00000042129	
ENSECAG00000012302	NOTCH4
ENSECAG00000041251	
ENSECAG00000000770	SLC35C1
ENSECAG00000027860	OR1L6E
ENSECAG00000007129	LRP6
ENSECAG00000020002	DCDC1
ENSECAG00000039841	
ENSECAG00000043428	
